Area,Price
400,2700000
425,2837500
450,2975000
475,3112500
500,3250000
525,3387500
550,3525000
575,3662500
600,3800000
625,3937500
650,4075000
675,4212500
700,4350000
725,4487500
750,4625000
775,4762500
800,4900000
825,5037500
850,5175000
875,5312500
900,5450000
925,5587500
950,5725000
975,5862500
1000,6000000
1025,6137500
1050,6275000
1075,6412500
1100,6550000
1125,6687500
1150,6825000
1175,6962500
1200,7100000
1225,7237500
1250,7375000
1275,7512500
1300,7650000
1325,7787500
1350,7925000
1375,8062500
1400,8200000
1425,8337500
1450,8475000
1475,8612500
1500,8750000
1525,8887500
1550,9025000
1575,9162500
1600,9300000
1625,9437500
